City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Kahului,US,2022-04-24 14:48:15,20.8947,-156.47,73.85,79,40,18.41
122,Naze,JP,2022-04-24 14:48:15,28.3667,129.4833,68.92,90,54,8.41
123,La Asuncion,VE,2022-04-24 14:48:15,11.0333,-63.8628,80.55,73,40,13.76
124,Bambous Virieux,MU,2022-04-24 14:48:16,-20.3428,57.7575,75.45,78,75,18.41
125,Barrow,US,2022-04-24 14:44:16,71.2906,-156.7887,6.82,78,0,9.22
126,Fort Nelson,CA,2022-04-24 14:48:16,58.8053,-122.7002,40.59,52,75,5.75
127,Sept-Iles,CA,2022-04-24 14:43:32,50.2001,-66.3821,39.72,48,20,14.97
128,Mayumba,GA,2022-04-24 14:48:17,-3.432,10.6554,81.01,80,100,6.15
129,Mayna,RU,2022-04-24 14:48:17,54.1135,47.6231,54.91,64,100,5.79
130,Yarmouth,US,2022-04-24 14:48:17,41.7057,-70.2286,49.98,53,100,14.0
131,Faanui,PF,2022-04-24 14:48:18,-16.4833,-151.75,79.93,72,69,5.03
132,Jamalteca,HN,2022-04-24 14:48:18,14.7,-87.5833,82.22,61,20,2.01
133,Tepalcatepec,MX,2022-04-24 14:48:18,19.1833,-102.85,81.7,38,8,1.61
134,Polewali,ID,2022-04-24 14:48:19,-3.4324,119.3435,77.7,91,92,2.53
135,Puerto Suarez,BO,2022-04-24 14:48:19,-18.95,-57.8,84.76,70,20,10.36
136,Deputatskiy,RU,2022-04-24 14:48:19,69.3,139.9,0.18,99,100,1.5
137,Saint-Joseph,RE,2022-04-24 14:48:20,-21.3667,55.6167,75.58,77,97,15.88
138,Talnakh,RU,2022-04-24 14:48:20,69.4865,88.3972,-3.62,100,48,2.28
139,Isangel,VU,2022-04-24 14:49:21,-19.55,169.2667,77.63,75,92,11.03
140,Port-Gentil,GA,2022-04-24 14:49:21,-0.7193,8.7815,82.36,74,20,4.61
141,Menongue,AO,2022-04-24 14:49:21,-14.6585,17.691,77.7,40,11,1.34
